Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand
21/04/2020,Arunachal Pradesh,454,1,433,19,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.22%,
22/04/2020,Arunachal Pradesh,496,2,441,53,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.40%,
23/04/2020,Arunachal Pradesh,526,2,508,16,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.38%,
02/04/2020,Assam,962,16,819,127,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,1.66%,
05/04/2020,Assam,,,,,,,,,,,,,,
10/04/2020,Assam,2863,29,2685,,,,3212,440,240,9245,https://t.me/indiacovid/2003?single,,1.01%,
11/04/2020,Assam,3011,29,2842,,,,3212,440,240,9514,https://t.me/indiacovid/2075?single,,0.96%,
12/04/2020,Assam,3138,29,2973,194,,,3212,440,240,9845,https://t.me/indiacovid/2146?single,,0.92%,
13/04/2020,Assam,,,,,,,,,,,,,,
14/04/2020,Assam,3491,31,3267,193,10022,,3212,440,240,10615,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,0.89%,
15/04/2020,Assam,3613,32,3492,89,,,3212,440,240,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,
16/04/2020,Assam,4108,34,3803,,,,3338,440,303,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,0.83%,
17/04/2020,Assam,4236,34,4024,,,,3338,440,303,11561,https://twitter.com/nhm_assam/status/1251154796444184578,,0.80%,
18/04/2020,Assam,4400,34,4199,,,,3338,440,303,11847,https://twitter.com/nhm_assam,,0.77%,
19/04/2020,Assam,4865,34,4584,,,,3338,440,303,12148,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,0.70%,
20/04/2020,Assam,5112,34,4937,,,,3338,440,303,12478,https://twitter.com/nhm_assam/status/1252256054907461632,,0.67%,
21/04/2020,Assam,5514,34,5245,,,,3338,440,303,12853,https://twitter.com/nhm_assam/status/1252591349670576128,,0.62%,
22/04/2020,Assam,,,,,,,,,,,,,,
23/04/2020,Assam,,,,,,,,,,,,,0.52%,
24/04/2020,Assam,,,,,,,,,,,,,,
25/04/2020,Assam,6680,35,6391,,,,3338,440,303,14478,https://twitter.com/nhm_assam/status/1253714714485538817,,,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,1.05%,
05/04/2020,Bihar,3037,32,2299,706,,,,,,,,,1.05%,
08/04/2020,Bihar,4596,38,,465,,,,,,,https://twitter.com/sanjayjavin/status/1247762894063677440,,0.83%,
09/04/2020,Bihar,4991,43,,394,,,,,,,https://twitter.com/BiharHealthDept/status/1248176830856626176/photo/1,,0.86%,
10/04/2020,Bihar,5457,60,,673,,,,,,,https://twitter.com/BiharHealthDept/status/1248494623409885184/photo/1,,1.10%,
11/04/2020,Bihar,6250,61,,,832,,2344,116,50,51075,https://twitter.com/BiharHealthDept/status/1248845966158905345?s=19,https://twitter.com/BiharHealthDept/status/1248964845371674625?s=09,0.98%,
12/04/2020,Bihar,6703,64,,618,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1249203228178296832?s=20,,0.95%,
13/04/2020,Bihar,7263,65,,41,,,2344,116,50,,https://t.me/indiacovid/2178?single,,0.89%,
14/04/2020,Bihar,7727,62,,472,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1249928292519432192?s=09,,0.80%,
15/04/2020,Bihar,8263,66,,565,,,2344,116,50,40380,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,https://twitter.com/SHSBihar/status/1250345699780096001?s=09,0.80%,
16/04/2020,Bihar,8846,72,,607,,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,0.81%,
17/04/2020,Bihar,9486,83,,510,,,2344,116,50,,https://twitter.com/sanjayjavin/status/1251023696354881537,,0.87%,
18/04/2020,Bihar,10130,85,,512,735,,2344,116,50,43152,https://twitter.com/BiharHealthDept/status/1251491112855973895,https://twitter.com/SHSBihar/status/1251437221179060224?s=09,0.84%,
19/04/2020,Bihar,10745,92,,644,700,,2344,116,50,,https://t.me/indiacovid/2664?single,,0.86%,
20/04/2020,Bihar,11319,96,,490,802,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1252218091712524289,,0.85%,
21/04/2020,Bihar,11999,115,,998,693,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1252564363044704256,,0.96%,
22/04/2020,Bihar,12978,136,,1005,748,,2344,116,50,,https://mobile.twitter.com/BiharHealthDept/status/1252933211488993280,,1.05%,
23/04/2020,Bihar,13785,148,,1240,768,,2344,116,50,,https://twitter.com/BiharHealthDept/status/1253330396726480901?s=19,,1.07%,
24/04/2020,Bihar,14924,176,,1000,,,,,,,https://twitter.com/sanjayjavin/status/1253554587811774465?s=19,,1.18%,
25/04/2020,Bihar,,,,,,,,,,,,,,
26/04/2020,Bihar,,,,,,,,,,,,,,
02/04/2020,Chandigarh,124,18,98,8,,,,,,,http://chdcovid19.in/,,14.52%,
08/04/2020,Chandigarh,184,18,162,,,,,,,,http://chdcovid19.in/,,9.78%,
10/04/2020,Chandigarh,223,19,199,4,,,,,,,http://chdcovid19.in/,,8.52%,
11/04/2020,Chandigarh,264,19,223,21,,,,,,,http://chdcovid19.in,,7.20%,
12/04/2020,Chandigarh,279,21,247,10,,,,,,,http://chdcovid19.in/,,7.53%,
13/04/2020,Chandigarh,296,21,263,11,,,,,,,http://chdcovid19.in,,7.09%,
14/04/2020,Chandigarh,309,21,285,2,,,,,,,http://chdcovid19.in,,6.80%,
15/04/2020,Chandigarh,317,21,293,2,,,,,,,http://chdcovid19.in,,6.62%,
16/04/2020,Chandigarh,337,21,315,0,,,,,,,https://twitter.com/ANI/status/1250765375874072578?s=09,,6.23%,
17/04/2020,Chandigarh,358,21,335,1,,,,,,,http://chdcovid19.in/,,5.87%,
18/04/2020,Chandigarh,381,23,348,9,,,,,,,http://chdcovid19.in/,,6.04%,
19/04/2020,Chandigarh,430,26,388,15,,,,,,,http://chdcovid19.in/,,6.05%,
20/04/2020,Chandigarh,453,26,417,9,,,,,,,http://chdcovid19.in/,,5.74%,
21/04/2020,Chandigarh,497,27,445,24,,,,,,,https://twitter.com/ANI/status/1252589665518936064/photo/1,,5.43%,
22/04/2020,Chandigarh,529,27,492,9,,,,,,,http://chdcovid19.in/,,5.10%,
23/04/2020,Chandigarh,599,27,557,14,,,,,,,http://chdcovid19.in/,,4.51%,
24/04/2020,Chandigarh,638,27,603,7,,,,,,,http://chdcovid19.in/,,,
25/04/2020,Chandigarh,,,,,,,,,,,,,,
02/04/2020,Chhattisgarh,1232,9,921,302,,,,,,,http://www.cghealth.nic.in/cghealth17/,,0.73%,
10/04/2020,Chhattisgarh,3473,18,3322,133,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_10042020.pdf,,0.52%,
11/04/2020,Chhattisgarh,3858,18,3503,337,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/RevisedMediaBulletinHINDI_11042020.pdf,,0.47%,
12/04/2020,Chhattisgarh,3945,31,3856,58,,,,,,,http://cghealth.nic.in/cghealth17/,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_12042020.pdf,0.79%,
13/04/2020,Chhattisgarh,4377,31,3969,377,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_13042020.pdf,,0.71%,
14/04/2020,Chhattisgarh,4812,33,4319,469,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_14042020.pdf,,0.69%,
15/04/2020,Chhattisgarh,5122,33,4878,211,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_15042020.pdf,,0.64%,
16/04/2020,Chhattisgarh,5519,33,5168,318,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_16042020.pdf,,0.60%,
17/04/2020,Chhattisgarh,5776,36,5484,256,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_18042020.pdf,,0.62%,
18/04/2020,Chhattisgarh,5776,36,5484,256,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_18042020.pdf,,0.62%,
19/04/2020,Chhattisgarh,6675,36,6086,553,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/mediaBulletinHindi_19042020.pdf,,0.54%,
20/04/2020,Chhattisgarh,7601,36,7029,536,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_20042020.pdf,,0.47%,
21/04/2020,Chhattisgarh,8272,36,7555,681,,,,,,,http://cghealth.nic.in/cghealth17/,,0.44%,
22/04/2020,Chhattisgarh,9220,36,8296,888,,,,,,,http://cghealth.nic.in/cghealth17/,,0.39%,
23/04/2020,Chhattisgarh,10346,36,9206,1104,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHindi_23042020.pdf,,0.35%,
24/04/2020,Chhattisgarh,,,,,,,,,,,,,,
25/04/2020,Chhattisgarh,,,,,,,,,,,,,,
01/04/2020,Delhi,2621,,,2621,,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/068e55804dc3527fb23cf7982ee7a5c7/HB01A.pdf?MOD=AJPERES&lmod=908572962&CACHEID=068e55804dc3527fb23cf7982ee7a5c7,,0.00%,
07/04/2020,Delhi,9041,576,7308,1157,3120,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/ed4d3d804dd60b488b60ff982ee7a5c7/HB07A.pdf?MOD=AJPERES&lmod=1435478287&CACHEID=ed4d3d804dd60b488b60ff982ee7a5c7,,6.37%,
09/04/2020,Delhi,9968,720,8643,605,2664,,,,,,http://health.delhigovt.nic.in/wps/wcm/connect/doit_health/Health/Home/Covid19/Health+Bulletin,http://health.delhigovt.nic.in/wps/wcm/connect/22522a804ddd430195f5f7d194e333e1/HB09A.pdf,7.22%,
10/04/2020,Delhi,11061,903,9662,496,,,,,,,https://twitter.com/CMODelhi/status/1248629695614046209?s=09,,8.16%,
11/04/2020,Delhi,11709,1069,10218,464,,,,,,,https://twitter.com/CMODelhi/status/1248998630888845313?s=19,,9.13%,
12/04/2020,Delhi,14036,1154,11748,984,,,,,,,https://twitter.com/CMODelhi/status/1249350539973812224,,8.22%,
13/04/2020,Delhi,15032,1510,12283,1008,,,,,,,https://twitter.com/CMODelhi/status/1249744159491031047/photo/2,,10.05%,
14/04/2020,Delhi,16282,1561,13748,715,,,,,,,https://twitter.com/CMODelhi/status/1250087698011803648/photo/2,,9.59%,
15/04/2020,Delhi,16605,1578,13865,956,,,,,,,https://twitter.com/CMODelhi/status/1250468383868350469?s=19,,9.50%,
16/04/2020,Delhi,18784,1640,14692,2251,,,,,,,https://twitter.com/CMODelhi/status/1250830372830470145?s=20,,8.73%,
17/04/2020,Delhi,21409,1707,16899,2674,,,,,,,https://twitter.com/CMODelhi/status/1251190807106777089/photo/2,,7.97%,
18/04/2020,Delhi,22283,1893,17449,2799,,,,,,,https://twitter.com/CMODelhi/status/1251559869494198282?s=19,,8.50%,
19/04/2020,Delhi,24387,2003,19393,2872,,,,,,,https://twitter.com/CMODelhi/status/1251923081699811328?s=09,,8.21%,
20/04/2020,Delhi,25900,2081,20712,2711,,,,,,,https://twitter.com/CMODelhi/status/1252276384166100994/photo/2,,8.03%,
21/04/2020,Delhi,26627,2156,21810,2354,,,,,,,https://twitter.com/CMODelhi/status/1252608476578078721/photo/2,,8.10%,
22/04/2020,Delhi,28309,2248,22713,3018,,,,,,,https://twitter.com/CMODelhi/status/1252978551088984066/photo/2,,7.94%,
23/04/2020,Delhi,30560,2375,24538,3068,,,,,,,https://twitter.com/CMODelhi/status/1253345233498226689?s=19,,7.77%,
24/04/2020,Delhi,33672,2514,26552,4128,,,,,,,https://twitter.com/CMODelhi/status/1253715491987664897/photo/2,,,
25/04/2020,Delhi,,,,,,,,,,,,,,
02/04/2020,Goa,220,5,197,18,,,,,,,https://www.goa.gov.in/wp-content/uploads/2020/04/Media-Bulletin-02.04.2020.pdf,,2.27%,
09/04/2020,Goa,344,7,,,,,,,,,https://twitter.com/dip_goa/status/1248237654258352129?s=09,,2.03%,
10/04/2020,Goa,354,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1248609175241764872/photo/1,,1.98%,
11/04/2020,Goa,,,,,,,,,,,,,,
12/04/2020,Goa,406,7,,,141,,,,,,https://twitter.com/DHS_Goa/status/1249332036751347713,,1.72%,
13/04/2020,Goa,440,7,,,,,,,,,https://t.me/indiacovid/2180,,1.59%,
14/04/2020,Goa,479,7,,,,,,,,,https://t.me/indiacovid/2280,,1.46%,
15/04/2020,Goa,556,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,,1.26%,
16/04/2020,Goa,611,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,,1.15%,
17/04/2020,Goa,673,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251147496824303620,,1.04%,
18/04/2020,Goa,758,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251500960444104704,,0.92%,
19/04/2020,Goa,826,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251858305669980160,,0.85%,
20/04/2020,Goa,901,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1252228312107118593,,0.78%,
21/04/2020,Goa,1004,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1252606575077847040,,0.70%,
22/04/2020,Goa,1116,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1253201084950016000?s=19,,0.63%,
23/04/2020,Goa,1206,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1253330859903479814,,0.58%,
24/04/2020,Goa,,,,,,,,,,,,,,
25/04/2020,Goa,,,,,,,,,,,,,,
08/04/2020,Gujarat,4224,186,3905,133,12299,,,,1761,,https://t.me/indiacovid/1850?single,,4.40%,
09/04/2020,Gujarat,,,,,,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief0904092020080952519.pdf,,,
10/04/2020,Gujarat,7718,378,7237,103,,,,,,,https://t.me/indiacovid/1994?single,,4.90%,
11/04/2020,Gujarat,9763,468,8888,407,12042,,,,,,https://gujcovid19.gujarat.gov.in/,,4.79%,
12/04/2020,Gujarat,11715,516,10867,332,14013,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1204122020080245240.pdf,https://gujcovid19.gujarat.gov.in/,4.40%,
13/04/2020,Gujarat,14251,572,12970,709,14,14204,,,,,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1304132020080356644.pdf,4.01%,
14/04/2020,Gujarat,14980,617,14363,,,,,,,41112,https://gujcovid19.gujarat.gov.in/,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1404142020112010574.pdf,4.12%,
15/04/2020,Gujarat,19197,766,18431,0,15147,,,,,,https://t.me/indiacovid/2364?single,,3.99%,
16/04/2020,Gujarat,20903,929,19974,0,14906,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,,4.44%,
17/04/2020,Gujarat,23483,1099,22339,45,15914,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,,4.68%,
18/04/2020,Gujarat,26102,1376,24726,0,16925,,,,,,https://twitter.com/PIBAhmedabad/status/1251515915323289601,,5.27%,
19/04/2020,Gujarat,29104,1743,27361,0,18540,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1904192020081511588.pdf,,5.99%,
20/04/2020,Gujarat,33316,1939,31377,0,23749,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2004202020085436665.pdf,,5.82%,
21/04/2020,Gujarat,36829,2178,34651,0,30354,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2104212020084254089.pdf,,5.91%,
22/04/2020,Gujarat,39421,2407,37014,0,32317,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2204222020082020535.pdf,https://gujcovid19.gujarat.gov.in/,6.11%,
23/04/2020,Gujarat,42384,2624,39760,0,34409,,,,,53060,https://gujcovid19.gujarat.gov.in/uploads/pressbrief2304232020085856435.pdf,,6.19%,
24/04/2020,Gujarat,,,,,,,,,,,,,,
25/04/2020,Gujarat,,,,,,,,,,,,,,
03/04/2020,Haryana,1325,44,938,343,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/BULLETIN%20EVENING03042020.pdf,,3.32%,
07/04/2020,Haryana,2520,141,1821,558,687,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020Morning.pdf,,5.60%,
08/04/2020,Haryana,2650,153,1885,612,545,,8649,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2008042020%20evening.pdf,,5.77%,
09/04/2020,Haryana,2964,156,2017,719,799,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2009042020evening.pdf,,5.26%,
10/04/2020,Haryana,3527,162,2447,918,914,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%2010042020%20evening.pdf,,4.59%,
11/04/2020,Haryana,3663,165,2472,1026,,,,,,,https://t.me/indiacovid/2051,,4.50%,
12/04/2020,Haryana,3903,181,2513,1209,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin12042020%20evening.pdf,,4.64%,
13/04/2020,Haryana,4489,182,2961,1346,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/bulletin%201342020%20Evening.pdf,http://www.nhmharyana.gov.in/page.aspx?id=208,4.05%,
14/04/2020,Haryana,5210,184,3681,1345,,,,,,,http://www.nrhmhp.gov.in/,http://www.nhmharyana.gov.in/page.aspx?id=208,3.53%,
15/04/2020,Haryana,7388,190,5581,1617,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20date%2015042020evening.pdf,,2.57%,
16/04/2020,Haryana,8064,214,6465,1408,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%2016-04-2020%20Evening.pdf,,2.65%,
17/04/2020,Haryana,8884,223,7148,1527,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin17_04_2020_Evening.pdf,,2.51%,
18/04/2020,Haryana,10454,232,8093,2143,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20-Morning-%2018-04-2020.pdfhttp://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20Evening%2018-04-2020.pdf,,2.22%,
19/04/2020,Haryana,12687,250,10230,2221,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Media%20Bulletin%2019th%20Aprilevening.pdf,,1.97%,
20/04/2020,Haryana,13894,251,11523,2134,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2020-04-2020.pdf,,1.81%,
21/04/2020,Haryana,14562,255,12253,2068,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2021-04-2020.pdf,,1.75%,
22/04/2020,Haryana,15561,264,13397,1914,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2022-04-2020.pdf,,1.70%,
23/04/2020,Haryana,17582,270,15452,1860,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2023-04-2020.pdf,,1.54%,
24/04/2020,Haryana,18845,275,16642,1928,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Evening%20Bulletin%2024-04-2020.pdf,,,
25/04/2020,Haryana,,,,,,,,,,,,,,
10/04/2020,Himachal Pradesh,900,30,870,,,,,,,,https://twitter.com/nhm_hp/status/1248648731374714880,,3.33%,
11/04/2020,Himachal Pradesh,900,30,870,0,,,,,,,http://www.nrhmhp.gov.in/,,3.33%,
12/04/2020,Himachal Pradesh,1113,32,944,137,,,,,,,https://twitter.com/nhm_hp/status/1249299563308974085?s=09,,2.88%,
13/04/2020,Himachal Pradesh,1210,32,1109,69,,,,,,,https://twitter.com/ANI/status/1249664611621703680?s=09,,2.64%,
14/04/2020,Himachal Pradesh,1311,32,1232,47,,,,,,,https://twitter.com/nhm_hp/status/1250095208496132096/photo/1,,2.44%,
15/04/2020,Himachal Pradesh,1426,35,1391,0,,,,,,,https://twitter.com/nhm_hp/status/1250447162388824064?s=19,,2.45%,
16/04/2020,Himachal Pradesh,1604,35,1559,10,,,,,,,https://twitter.com/nhm_hp/status/1250826722766761986?s=09,,2.18%,
17/04/2020,Himachal Pradesh,1992,36,1740,216,,,,,,,https://twitter.com/nhm_hp/status/1251189060976037890/photo/1,,1.81%,
18/04/2020,Himachal Pradesh,2207,39,2091,77,,,,,,,https://twitter.com/nhm_hp/status/1251554269267779584?s=19,,1.77%,
19/04/2020,Himachal Pradesh,2553,39,2337,177,,,,,,,https://twitter.com/nhm_hp/status/1251902095738810368?s=19,,1.53%,
20/04/2020,Himachal Pradesh,2892,39,2714,139,,,,,,,https://twitter.com/nhm_hp/status/1252268502104313856/photo/1,,1.35%,
21/04/2020,Himachal Pradesh,3341,39,2933,369,,,,,,,https://twitter.com/nhm_hp/status/1252581823864946690,,1.17%,
22/04/2020,Himachal Pradesh,3700,39,3510,151,,,,,,,https://twitter.com/nhm_hp/status/1253011070173798402?s=09,,1.05%,
23/04/2020,Himachal Pradesh,4020,40,3943,37,,,,,,,https://twitter.com/nhm_hp/status/1253364412880019456?s=19,,1.00%,
24/04/2020,Himachal Pradesh,4328,40,4160,128,,,,,,,https://twitter.com/nhm_hp/status/1253724575323557890,,,
25/04/2020,Himachal Pradesh,,,,,,,,,,,,,,
05/04/2020,Jammu and Kashmir,1551,106,1429,16,,,,,,,https://twitter.com/diprjk/status/1246764514135040000,,6.83%,
10/04/2020,Jammu and Kashmir,2961,207,2754,,415,,,,,,https://twitter.com/diprjk/status/1248598584380887042/photo/1,,6.99%,
11/04/2020,Jammu and Kashmir,3206,224,2982,,422,,,,,,https://twitter.com/diprjk/status/1248973710284820486?s=19,,6.99%,
12/04/2020,Jammu and Kashmir,3600,245,3355,,433,,,,,,https://twitter.com/diprjk/status/1249325016266637313,https://twitter.com/diprjk,6.81%,
13/04/2020,Jammu and Kashmir,4065,270,3795,,354,,,,,,https://twitter.com/diprjk/status/1249691818737844224,,6.64%,
14/04/2020,Jammu and Kashmir,4619,278,4341,,365,,,,,,https://twitter.com/diprjk/status/1250065146074071041/photo/2,,6.02%,
15/04/2020,Jammu and Kashmir,5171,300,4871,,270,,,,,,https://twitter.com/diprjk/status/1250429960319152128?s=19,,5.80%,
16/04/2020,Jammu and Kashmir,5680,314,5366,,265,,,,,,https://mobile.twitter.com/diprjk/status/1250767946072199168/photo/2,,5.53%,
17/04/2020,Jammu and Kashmir,6438,328,6110,,260,,,,,,https://mobile.twitter.com/diprjk/status/1251154157924282371/photo/2,,5.09%,
