Updated On,State,"RT-PCR Test(Includes TrueNat,CBNAAT,CRISPR)",RAT(Rapid Antigen Test),Other Tests,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,Total People Quarantined,Tag(People in Quarantine),Cumulative People in Home Isolation,Total People Currently in Isolation,Tag(People in Isolation),People released from Home Isolation,"Cases outside Home Isolation i.e Institutional Isolation,Hospital Etc.",Cumulative People in Surveillance,Total People Currently in Surveillance,Tag(People in Surveillance),People released from Surveillance,Cumulative People in Observation,People released from Observation,People on ICU Beds,People on Ventilator,People on O2 Beds,Beds Occupied(Normal/Isolation),Total Num ICU Beds,Total Num Ventilators,Total Num of O2 Beds,Total Num Beds (Normal/Isolation) ,Total PPE,Total N95 Masks,COVID Enquiry Calls,Number of Containment Zones,Cumulative Number of Symptomatic Cases,Cumulative Number of Asymptomatic Cases,Unknown(Nature of Cases),Tag(Nature of Cases),Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases),Source1,Source2,Source3,Source 4
27/05/2020,Andaman and Nicobar Islands,,,,7499,Samples Sent,33,,51,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/271.pdf,,,
28/05/2020,Andaman and Nicobar Islands,,,,7519,Samples Sent,33,,19,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/272.pdf,,,
29/05/2020,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,48,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/273.pdf,,,
30/05/2020,Andaman and Nicobar Islands,,,,7567,Samples Sent,33,,129,,0,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/274.pdf,,,
31/05/2020,Andaman and Nicobar Islands,,,,7706,Samples Sent,33,,0,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/275.pdf,,,
01/06/2020,Andaman and Nicobar Islands,,,,7805,Samples Sent,33,,99,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/276.pdf,,,
02/06/2020,Andaman and Nicobar Islands,,,,8086,Samples Sent,33,,274,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/277.pdf,,,
03/06/2020,Andaman and Nicobar Islands,,,,8295,Samples Sent,33,,208,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/278.pdf,,,
04/06/2020,Andaman and Nicobar Islands,,,,8413,Samples Sent,33,,118,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/280.pdf,,,
05/06/2020,Andaman and Nicobar Islands,,,,8694,Samples Sent,33,,281,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/281.pdf,,,
06/06/2020,Andaman and Nicobar Islands,,,,9037,Samples Sent,33,,343,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/282.pdf,,,
07/06/2020,Andaman and Nicobar Islands,,,,9242,Samples Sent,33,,404,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/283.pdf,,,
08/06/2020,Andaman and Nicobar Islands,,,,9341,Samples Sent,33,,279,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://t.me/indiacovid/6803?single,,,
09/06/2020,Andaman and Nicobar Islands,,,,9859,Samples Sent,33,,531,,0,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/290.pdf,,,
10/06/2020,Andaman and Nicobar Islands,,,,10010,Samples Sent,35,,382,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/291.pdf,,,
11/06/2020,Andaman and Nicobar Islands,,,,10226,Samples Sent,38,,294,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/292.pdf,,,
12/06/2020,Andaman and Nicobar Islands,,,,10697,Samples Sent,38,,556,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/293.pdf,,,
13/06/2020,Andaman and Nicobar Islands,,,,10955,Samples Sent,38,,814,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/294.pdf,,,
14/06/2020,Andaman and Nicobar Islands,,,,11356,Samples Sent,38,,1040,,1,Institutional,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/295.pdf,,,
15/06/2020,Andaman and Nicobar Islands,,,,11518,Samples Sent,41,,579,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/296.pdf,,,
16/06/2020,Andaman and Nicobar Islands,,,,11809,Samples Sent,44,,719,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/297.pdf,,,
17/06/2020,Andaman and Nicobar Islands,,,,12239,Samples Sent,44,,383,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/298.pdf,,,
18/06/2020,Andaman and Nicobar Islands,,,,12622,Samples Sent,45,,350,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/299.pdf,,,
19/06/2020,Andaman and Nicobar Islands,,,,12930,Samples Sent,47,,306,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/300.pdf,,,
20/06/2020,Andaman and Nicobar Islands,,,,13320,Samples Sent,47,,372,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/301.pdf,,,
21/06/2020,Andaman and Nicobar Islands,,,,13434,Samples Sent,48,,437,,4,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/302.pdf,,,
22/06/2020,Andaman and Nicobar Islands,,,,13511,Samples Sent,48,,71,,3,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/303.pdf,,,
23/06/2020,Andaman and Nicobar Islands,,,,13723,Samples Sent,50,,188,,3,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/304.pdf,,,
24/06/2020,Andaman and Nicobar Islands,,,,13994,Samples Sent,56,,265,,3,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/305.pdf,,,
25/06/2020,Andaman and Nicobar Islands,,,,14277,Samples Sent,59,,223,,6,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/306.pdf,,,
26/06/2020,Andaman and Nicobar Islands,,,,14583,Samples Sent,72,,224,,8,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/308.pdf,https://dhs.andaman.gov.in/,,
27/06/2020,Andaman and Nicobar Islands,,,,14851,Samples Sent,73,,217,,8,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/309.pdf,,,
28/06/2020,Andaman and Nicobar Islands,,,,15094,Samples Sent,83,,243,,8,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/310.pdf,,,
29/06/2020,Andaman and Nicobar Islands,,,,15410,Samples Sent,90,,281,,8,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/311.pdf,,,
30/06/2020,Andaman and Nicobar Islands,,,,15709,Samples Sent,97,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/312.pdf,,,
01/07/2020,Andaman and Nicobar Islands,,,,15982,Samples Sent,100,,243,,,,,,,,0,Home,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/313.pdf,,,
02/07/2020,Andaman and Nicobar Islands,,,,16278,Samples Sent,109,,254,,,,,,,,2,Home,,,,,,,,,,,,56,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/317.pdf,,,
03/07/2020,Andaman and Nicobar Islands,,,,16626,Samples Sent,116,,323,,,,,,,,2,Home,,,,,,,,,,,,60,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/318.pdf,https://dhs.andaman.gov.in/,,
04/07/2020,Andaman and Nicobar Islands,,,,16832,Samples Sent,119,,184,,28,Facility,8359,,,,4,Home,,,,,,,,,,,,49,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/319.pdf,https://dhs.andaman.gov.in/,,
05/07/2020,Andaman and Nicobar Islands,,,,16909,Samples Sent,125,,77,,30,Facility,8676,,,,2,Home,,,,,,,,,,,,51,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/320.pdf,https://dhs.andaman.gov.in/,,
06/07/2020,Andaman and Nicobar Islands,,,,17095,Samples Sent,141,,105,,30,Facility,8816,,,,2,Home,,,,,,,,,,,,65,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/321.pdf,https://dhs.andaman.gov.in/,,
07/07/2020,Andaman and Nicobar Islands,,,,17381,Samples Sent,147,,199,,30,Facility,,,,,2,Home,,,,,,,,,,,,70,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/322.pdf,https://dhs.andaman.gov.in/,,
08/07/2020,Andaman and Nicobar Islands,,,,17643,Samples Sent,149,,208,,34,Facility,,,,,0,Home,,,,,,,,,,,,70,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/323.pdf,https://dhs.andaman.gov.in/,,
09/07/2020,Andaman and Nicobar Islands,,,,17852,Samples Sent,151,,190,,19,Facility,,,,,0,Home,,,,,,,,,,,,68,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/324.pdf,https://dhs.andaman.gov.in/,,
10/07/2020,Andaman and Nicobar Islands,,,,18046,Samples Sent,156,,145,,31,Facility,,,,,0,Home,,,,,,,,,,,,64,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/325.pdf,https://dhs.andaman.gov.in/,,
11/07/2020,Andaman and Nicobar Islands,,,,18315,Samples Sent,163,,269,,31,Facility,,,,,0,Home,,,,,,,,,,,,70,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/326.pdf,https://dhs.andaman.gov.in/,,
12/07/2020,Andaman and Nicobar Islands,,,,18447,Samples Sent,163,,132,,31,Facility,,,,,0,Home,,,,,,,,,,,,63,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/327.pdf,https://dhs.andaman.gov.in/,,
13/07/2020,Andaman and Nicobar Islands,,,,18609,Samples Sent,166,,135,,31,Facility,,,,,0,Home,,,,,,,,,,,,57,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/328.pdf,https://dhs.andaman.gov.in/,,
14/07/2020,Andaman and Nicobar Islands,,,,18884,Samples Sent,171,,224,,31,Facility,,,,,0,Home,,,,,,,,,,,,42,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/330.pdf,https://dhs.andaman.gov.in/,,
15/07/2020,Andaman and Nicobar Islands,,,,19061,Samples Sent,176,,166,,31,Facility,,,,,0,Home,,,,,,,,,,,,46,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/331.pdf,https://dhs.andaman.gov.in/,,
16/07/2020,Andaman and Nicobar Islands,,,,19227,Samples Sent,180,,115,,31,Facility,,,,,0,Home,,,,,,,,,,,,47,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/332.pdf,https://dhs.andaman.gov.in/,,
17/07/2020,Andaman and Nicobar Islands,,,,19421,Samples Sent,194,,136,,,,,,,,1,Home,,,,,,,,,,,,50,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/333.pdf,https://dhs.andaman.gov.in/,,
18/07/2020,Andaman and Nicobar Islands,,,,19671,Samples Sent,198,,197,,,,,,,,1,Home,,,,,,,,,,,,51,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/334.pdf,https://dhs.andaman.gov.in/,,
19/07/2020,Andaman and Nicobar Islands,,,,19904,Samples Sent,203,,233,,,,,,,,0,Home,,,,,,,,,,,,56,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/335.pdf,https://dhs.andaman.gov.in/,,
20/07/2020,Andaman and Nicobar Islands,,,,20301,Samples Sent,207,,330,,,,,,,,1,Home,,,,,,,,,,,,53,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/336.pdf,https://dhs.andaman.gov.in/,,
21/07/2020,Andaman and Nicobar Islands,,,,20642,Samples Sent,212,,237,,,,,,,,0,Home,,,,,,,,,,,,53,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/337.pdf,https://dhs.andaman.gov.in/,,
22/07/2020,Andaman and Nicobar Islands,,,,21043,Samples Sent,221,,336,,34,Facility,,,,,2,Home,,,,,,,,,,,,56,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/338.pdf,https://dhs.andaman.gov.in/,,
23/07/2020,Andaman and Nicobar Islands,,,,21310,Samples Sent,240,,386,,36,Facility,,,,,4,Home,,,,,,,,,,,,66,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/339.pdf,https://dhs.andaman.gov.in/,,
24/07/2020,Andaman and Nicobar Islands,,,,21743,Samples Sent,259,,571,,36,Facility,,,,,6,Home,,,,,,,,,,,,78,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/340.pdf,https://dhs.andaman.gov.in/,,
25/07/2020,Andaman and Nicobar Islands,,,,21965,Samples Sent,290,,353,,37,Facility,,,,,19,Home,,,,,,,,,,,,95,,,,176,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/341.pdf,https://dhs.andaman.gov.in/,,
26/07/2020,Andaman and Nicobar Islands,,,,22049,Samples Sent,324,,147,,37,Facility,,,,,28,Home,,,,,,,,,,,,114,,,,179,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/342.pdf,https://dhs.andaman.gov.in/,,
27/07/2020,Andaman and Nicobar Islands,,,,22548,Samples Sent,338,,411,,37,Facility,,,,,34,Home,,,,,,,,,,,,111,,,,199,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/343.pdf,https://dhs.andaman.gov.in/,,
28/07/2020,Andaman and Nicobar Islands,,,,22925,Samples Sent,363,,378,,37,Facility,,,,,42,Home,,,,,,,,,,,,124,,,,199,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/345.pdf,https://dhs.andaman.gov.in/,,
29/07/2020,Andaman and Nicobar Islands,,,,23217,Samples Sent,428,,612,,40,Facility,,,,,84,Home,,,,,,,,,,,,141,,,,199,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/346.pdf,https://dhs.andaman.gov.in/,,
30/07/2020,Andaman and Nicobar Islands,,,,23615,Samples Sent,471,,707,,42,Facility,,,,,102,Home,,,,,,,,,,,,164,,,,199,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/347.pdf,https://dhs.andaman.gov.in/,,
31/07/2020,Andaman and Nicobar Islands,,,,24038,Samples Sent,548,,901,,49,Facility,,,,,121,Home,,,,,,,,,,,,108,,,,432,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/348.pdf,https://dhs.andaman.gov.in/,,
01/08/2020,Andaman and Nicobar Islands,,,,24308,Samples Sent,636,,930,,50,Facility,,,,,185,Home,,,,,,,,,,,,218,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/349.pdf,https://dhs.andaman.gov.in/,,
02/08/2020,Andaman and Nicobar Islands,,,,24580,Samples Sent,734,,642,,54,Facility,,,,,263,Home,,,,,,,,,,,,220,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/350.pdf,https://dhs.andaman.gov.in/,,
03/08/2020,Andaman and Nicobar Islands,,,,25034,Samples Sent,830,,721,,54,Facility,,,,,325,Home,,,,,,,,,,,,232,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/351.pdf,https://dhs.andaman.gov.in/,,
04/08/2020,Andaman and Nicobar Islands,,,,25492,Samples Sent,928,,928,,54,Facility,,,,,384,Home,,,,,,,,,,,,255,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/352.pdf,https://dhs.andaman.gov.in/,,
05/08/2020,Andaman and Nicobar Islands,,,,25826,Samples Sent,1027,,983,,55,Facility,,,,,410,Home,,,,,,,,,,,,277,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/353.pdf,https://dhs.andaman.gov.in/,,
06/08/2020,Andaman and Nicobar Islands,,,,26516,Samples Sent,1123,,1376,,66,Facility,,,,,462,Home,,,,,,,,,,,,290,,,,466,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/354.pdf,https://dhs.andaman.gov.in/,,
07/08/2020,Andaman and Nicobar Islands,,,,26915,Samples Sent,1222,,1472,,66,Facility,,,,,503,Home,,,,,,,,,,,,275,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/355.pdf,https://dhs.andaman.gov.in/,,
08/08/2020,Andaman and Nicobar Islands,,,,27073,Samples Sent,1351,,1208,,70,Facility,,,,,578,Home,,,,,,,,,,,,263,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/356.pdf,https://dhs.andaman.gov.in/,,
09/08/2020,Andaman and Nicobar Islands,,,,27103,Samples Sent,1490,,912,,70,Facility,,,,,548,Home,,,,,,,,,,,,274,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/357.pdf,https://dhs.andaman.gov.in/,,
10/08/2020,Andaman and Nicobar Islands,,,,27346,Samples Sent,1625,,744,,70,Facility,,,,,650,Home,,,,,,,,,,,,246,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/358.pdf,https://dhs.andaman.gov.in/,,
11/08/2020,Andaman and Nicobar Islands,,,,27455,Samples Sent,1764,,324,,70,Facility,,,,,747,Home,,,,,,,,,,,,247,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/359.pdf,https://dhs.andaman.gov.in/,,
12/08/2020,Andaman and Nicobar Islands,,,,27744,Samples Sent,1900,,144,,70,Facility,,,,,799,Home,,,,,,,,,,,,251,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/360.pdf,https://dhs.andaman.gov.in/,,
13/08/2020,Andaman and Nicobar Islands,,,,27973,Samples Sent,2037,,188,,70,Facility,,,,,877,Home,,,,,,,,,,,,214,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/361.pdf,https://dhs.andaman.gov.in/,,
14/08/2020,Andaman and Nicobar Islands,,,,28129,Samples Sent,2186,,156,,70,Facility,,,,,902,Home,,,,,,,,,,,,228,,,,516,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/362.pdf,https://dhs.andaman.gov.in/,,
15/08/2020,Andaman and Nicobar Islands,,,,28209,Samples Sent,2306,,80,,70,Facility,,,,,945,Home,,,,,,,,,,,,229,,,,558,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/363.pdf,https://dhs.andaman.gov.in/,,
16/08/2020,Andaman and Nicobar Islands,,,,28229,Samples Sent,2399,,100,,70,Facility,,,,,925,Home,,,,,,,,,,,,220,,,,558,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/364.pdf,https://dhs.andaman.gov.in/,,
17/08/2020,Andaman and Nicobar Islands,,,,28672,Samples Sent,2445,,268,,70,Facility,,,,,890,Home,,,,,,,,,,,,201,,,,558,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/365.pdf,https://dhs.andaman.gov.in/,,
18/08/2020,Andaman and Nicobar Islands,,,,28937,Samples Sent,2529,,281,,70,Facility,,,,,885,Home,,,,,,,,,,,,193,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/366.pdf,https://dhs.andaman.gov.in/,,
19/08/2020,Andaman and Nicobar Islands,,,,29303,Samples Sent,2604,,330,,70,Facility,,,,,851,Home,,,,,,,,,,,,194,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/367.pdf,https://dhs.andaman.gov.in/,,
20/08/2020,Andaman and Nicobar Islands,,,,29487,Samples Sent,2680,,404,,70,Facility,,,,,816,Home,,,,,,,,,,,,201,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/368.pdf,https://dhs.andaman.gov.in/,,
21/08/2020,Andaman and Nicobar Islands,,,,29573,Samples Sent,2747,,161,,70,Facility,,,,,783,Home,,,,,,,,,,,,198,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/369.pdf,https://dhs.andaman.gov.in/,,
22/08/2020,Andaman and Nicobar Islands,,,,29888,Samples Sent,2808,,315,,72,Facility,,,,,724,Home,,,,,,,,,,,,199,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/370.pdf,https://dhs.andaman.gov.in/,,
23/08/2020,Andaman and Nicobar Islands,,,,30278,Samples Sent,2860,,290,,78,Facility,,,,,636,Home,,,,,,,,,,,,228,,,,1039,,,,,,,,,,,,,,,,,https://dhs.andaman.gov.in/NewEvents/371.pdf,https://dhs.andaman.gov.in/,,
